msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
you piece of shit streamer i hope you die,"[{'text': 'piece of shit', 'automod': {'topics': {'bullying': 6, 'vulgar': 6}}}, {'text': 'i hope you die', 'automod': {'topics': {'bullying': 6}}}]",aggression,2,"[{'start_pos': 4, 'end_pos': 16}, {'start_pos': 27, 'end_pos': 40}]",2024-12-05T22:27:40.846243024Z,2024-12-05 16:27:41.794540
asswipe you should know if you are man or not,"[{'text': 'asswipe', 'automod': {'topics': {'bullying': 6}}}]",namecalling,2,"[{'start_pos': 0, 'end_pos': 6}]",2024-12-05T22:46:05.180445049Z,2024-12-05 16:46:06.255103
"fucker, you are gonna die bitch","[{'text': 'fucker', 'automod': {'topics': {'bullying': 7, 'vulgar': 6}}}, {'text': 'bitch', 'automod': {'topics': {'bullying': 6, 'identity': 5, 'vulgar': 6}}}]",namecalling,2,"[{'start_pos': 0, 'end_pos': 5}, {'start_pos': 26, 'end_pos': 30}]",2024-12-05T22:56:01.349827647Z,2024-12-05 16:56:01.455051
