"user","message","processTime","sent_at"
"homeland3r1","I'm going to find you and make you regret ever streaming.",31543,"2024-11-19T01:34:52.426Z"
"homeland3r1","You deserve to be beaten for saying that!",35542,"2024-11-19T01:34:52.426Z"
"homeland3r1","I'm going to find you and make you regret ever streaming.",38023,"2024-11-19T01:37:34.612Z"
"homeland3r1","You deserve to be beaten for saying that!",38150,"2024-11-19T01:37:34.612Z"
"homeland3r1","I'm going to find you and make you regret ever streaming.",29638,"2024-11-19T01:39:35.925Z"
"homeland3r1","You deserve to be beaten for saying that!",33490,"2024-11-19T01:39:35.925Z"
